order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
v6px92oS8cLG,32bFKHvMMEMv,delivered,2018-06-20 21:40:31,2018-06-20 22:20:20,2018-07-03 22:51:22,2018-07-24
bwJVWupf2keN,EOEsCQ6QlpIg,delivered,2018-08-18 18:04:29,2018-08-18 18:15:16,2018-08-27 20:03:51,2018-09-19
StM5K4TLyrt5,1k71TCYNFCzj,delivered,2018-05-30 09:25:25,2018-05-30 09:35:16,2018-06-21 18:22:15,2018-07-05
07j6mlMhSVtx,kZ0rkJCJ6N5y,delivered,2018-05-02 22:52:10,2018-05-03 00:13:21,2018-05-09 23:48:32,2018-05-18
HqV5f8K2UYoA,3zvaY9gUH9bO,delivered,2018-06-15 15:44:21,2018-06-15 16:00:22,2018-06-25 22:27:56,2018-07-11
9G9EHbafs7NW,KD8KlSTtIm3Z,delivered,2018-07-18 18:42:47,2018-07-18 18:55:28,2018-08-03 14:43:03,2018-08-13
INolFarYfmEO,bF5K2Cy2Z7ti,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03
tOTdnjpI8Udp,RLR3Jci7EXFZ,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18
KJL5uJuZzKxr,oZqYD7eyV1EJ,delivered,2018-07-17 15:21:10,2018-07-18 03:01:44,2018-08-20 12:08:32,2018-08-14
00NEIdaOTIgn,tSG89uyaK6MS,delivered,2018-05-07 22:34:11,2018-05-07 22:52:41,2018-05-11 22:48:43,2018-05-21
YUX432Je58GK,jQ0u9oBPe3Mg,delivered,2018-07-25 09:02:36,2018-07-25 09:15:13,2018-07-30 10:49:54,2018-08-02
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30
lo8oje94TYb7,eSqRKROmKF9Y,delivered,2018-08-13 14:07:50,2018-08-15 03:15:09,2018-08-24 00:14:39,2018-09-05
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09
qcDbJ8F0FIjM,hWGGX7sEla9R,delivered,2018-05-08 19:38:58,2018-05-08 20:54:55,2018-05-14 20:36:55,2018-05-21
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20
Vtkwb0b4JxKg,ubqgVrx7Q6VP,delivered,2018-05-18 18:52:53,2018-05-22 08:56:53,2018-06-04 21:16:48,2018-06-07
XXzZNogGt47r,rAV7gKaOWkEy,delivered,2018-06-10 20:29:24,2018-06-10 20:57:48,2018-06-13 16:03:33,2018-06-29
kuyUMcYHFGqn,dXsploeBzop3,delivered,2018-07-29 12:47:00,2018-08-01 16:31:40,2018-08-03 18:20:55,2018-08-10
DlmtCXqKjfWj,UlqYPqEYgETA,delivered,2018-07-03 11:11:29,2018-07-05 16:27:45,2018-07-09 17:06:38,2018-07-27
OiIetUyiPLHG,4YfVSBGWPVdv,delivered,2018-06-28 00:43:34,2018-06-28 01:11:21,2018-06-29 20:52:48,2018-07-12
iWJeaLiduq7C,bVaqeOVzrNj1,delivered,2018-08-09 08:16:06,2018-08-10 08:10:16,2018-08-15 19:42:35,2018-09-10
1vz8w7BjKsWC,EZkjVsEKMQF0,delivered,2018-07-09 21:31:15,2018-07-09 21:45:13,2018-07-13 20:51:09,2018-07-24
PC71lF6z451l,lZCaJq9iYKt0,delivered,2018-06-20 12:30:41,2018-06-22 04:36:05,2018-06-26 22:38:34,2018-07-03
TySAT9hqufKc,wuCRBXrAQIyN,delivered,2018-05-10 20:41:16,2018-05-10 20:57:56,2018-05-21 19:16:30,2018-05-30
IKSlI8m4cXvg,63cb18M1Z31w,delivered,2018-08-07 16:45:43,2018-08-07 17:05:05,2018-08-10 19:58:43,2018-08-27
O2vxSz1Ohmit,pfARTA1RWJhn,delivered,2018-06-18 08:14:02,2018-06-19 03:36:38,2018-06-29 15:12:38,2018-07-17
xmCgQrZviQ4N,rCX2RwzGubEQ,delivered,2018-07-22 17:47:27,2018-07-23 12:32:17,2018-07-26 16:21:16,2018-07-31
POj27FIujdqj,lZCaJq9iYKt0,delivered,2018-06-14 21:18:25,2018-06-14 21:36:55,2018-06-20 20:58:36,2018-07-05
